IP:PORT, LOSS, DELAY
[2606:4700:d1::2fd4:9b02:a97b:cf01]:1701,0.00%,268 ms
[2606:4700:d0::3c07:b33e:c454:79d2]:878,0.00%,268 ms
[2606:4700:d0::e98b:1ff3:dceb:e368]:878,0.00%,268 ms
[2606:4700:d1::58ed:c97d:bf98:ceb5]:1701,0.00%,268 ms
[2606:4700:d1::b1ea:c735:21e8:733d]:878,0.00%,268 ms
[2606:4700:d0::9209:1ea2:3460:e2b2]:878,0.00%,269 ms
[2606:4700:d1::72b1:0ccf:1d40:95c1]:878,0.00%,269 ms
[2606:4700:d0::6d28:1690:b846:0bec]:878,0.00%,270 ms
[2606:4700:d0::d169:0af3:af58:edd0]:878,0.00%,270 ms
[2606:4700:d0::3233:b6d4:e2f9:cf1b]:878,0.00%,270 ms
[2606:4700:d0::c373:092a:edef:f565]:878,0.00%,270 ms
[2606:4700:d0::7395:a3d9:85d8:e7f0]:1701,0.00%,270 ms
[2606:4700:d1::6794:a423:da3b:148e]:878,0.00%,270 ms
[2606:4700:d0::29d8:84ce:ac3a:6ed9]:1701,0.00%,270 ms
[2606:4700:d0::1a6a:8af1:8f30:0907]:878,0.00%,271 ms
[2606:4700:d0::0b66:ec6d:82d0:d9ef]:878,0.00%,271 ms
[2606:4700:d0::653d:0060:f8dd:2283]:878,0.00%,271 ms
[2606:4700:d0::ab2b:f830:0631:6b0b]:878,0.00%,271 ms
[2606:4700:d1::fd54:1b9b:7b33:9572]:878,0.00%,271 ms
[2606:4700:d1::48f4:b7b2:877d:74cb]:1701,0.00%,272 ms
[2606:4700:d0::0633:a23f:eaba:8e7e]:1701,0.00%,272 ms
[2606:4700:d1::c372:b5d2:7935:de0a]:1701,0.00%,272 ms
[2606:4700:d1::21de:f1ad:fbd7:4bcd]:878,0.00%,272 ms
[2606:4700:d0::7375:bd85:53f7:7abe]:878,0.00%,272 ms
[2606:4700:d1::21de:f1ad:fbd7:4bcd]:1701,0.00%,272 ms
[2606:4700:d1::74ca:dc8d:24be:e337]:1701,0.00%,272 ms
[2606:4700:d1::5650:8744:ee7d:83af]:878,0.00%,273 ms
[2606:4700:d0::c373:092a:edef:f565]:1701,0.00%,273 ms
[2606:4700:d1::b3e2:b483:eaa0:e63d]:878,0.00%,273 ms
[2606:4700:d0::7395:a3d9:85d8:e7f0]:878,0.00%,273 ms
[2606:4700:d0::8bdc:b64d:49b5:97c3]:1701,0.00%,273 ms
[2606:4700:d0::6320:283d:fa5b:aeea]:878,0.00%,273 ms
[2606:4700:d1::de2e:41bc:ca3d:0122]:878,0.00%,273 ms
[2606:4700:d0::3233:b6d4:e2f9:cf1b]:1701,0.00%,274 ms
[2606:4700:d1::fc64:b661:c2ff:6a53]:1701,0.00%,274 ms
[2606:4700:d0::e98b:1ff3:dceb:e368]:1701,0.00%,274 ms
[2606:4700:d1::2091:325b:a5ea:f5f0]:1701,0.00%,274 ms
[2606:4700:d1::312e:e41e:c3c5:e85f]:878,0.00%,274 ms
[2606:4700:d1::b291:4823:3933:be3c]:1701,0.00%,275 ms
[2606:4700:d1::342a:c2cb:5742:4cc8]:1701,0.00%,275 ms
[2606:4700:d1::7fa5:10a7:2b92:9e5c]:1701,0.00%,275 ms
[2606:4700:d1::74ca:dc8d:24be:e337]:878,0.00%,275 ms
[2606:4700:d1::2d3e:b538:cc75:9038]:878,0.00%,275 ms
[2606:4700:d0::cae4:f824:095b:80e4]:878,0.00%,275 ms
[2606:4700:d1::7fa5:10a7:2b92:9e5c]:878,0.00%,276 ms
[2606:4700:d0::d3ed:11be:2a9a:f6ed]:1701,0.00%,276 ms
[2606:4700:d1::fc64:b661:c2ff:6a53]:878,0.00%,276 ms
[2606:4700:d1::2091:325b:a5ea:f5f0]:878,0.00%,277 ms
[2606:4700:d1::f8e6:26f3:b785:1680]:878,0.00%,277 ms
[2606:4700:d1::b291:4823:3933:be3c]:878,0.00%,277 ms
[2606:4700:d1::b8e8:a364:b600:9d6a]:878,0.00%,278 ms
[2606:4700:d1::a1d5:70e7:d771:6d49]:878,0.00%,278 ms
[2606:4700:d0::538e:7f02:e0b7:c177]:878,0.00%,278 ms
[2606:4700:d1::6514:8f3d:d7c0:a8bd]:1701,0.00%,278 ms
[2606:4700:d0::edfa:0a69:c92d:d6bd]:1701,0.00%,279 ms
[2606:4700:d1::c991:f507:c3ef:4b19]:878,0.00%,280 ms
[2606:4700:d0::d3ed:11be:2a9a:f6ed]:878,0.00%,281 ms
[2606:4700:d0::653d:0060:f8dd:2283]:1701,0.00%,282 ms
[2606:4700:d1::4c95:8df5:4323:8fb3]:1701,0.00%,283 ms
[2606:4700:d0::d169:0af3:af58:edd0]:1701,0.00%,283 ms
[2606:4700:d0::6d7d:bec1:8f3b:b195]:878,0.00%,284 ms
[2606:4700:d1::c372:b5d2:7935:de0a]:878,0.00%,286 ms
[2606:4700:d0::9fd1:24cc:5122:f05a]:878,0.00%,287 ms
[2606:4700:d0::592f:d131:8f18:930c]:878,0.00%,287 ms
[2606:4700:d0::122f:ec4a:c57c:c15e]:1701,0.00%,289 ms
